,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,WhetherRemodelled,AgeofProperty
20,60,RL,101.0,14215,IR1,Corner,NridgHt,2Story,8,5,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,PConc,Ex,Av,Unf,0,1158,1158,Ex,1158,1218,2376,0,3,1,4,Gd,9,1,Gd,BuiltIn,RFn,3,853,240,154,325300,1,1
21,45,RM,57.0,7449,Reg,Inside,IDOTRR,1.5Unf,7,7,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,No,Unf,0,637,637,Ex,1108,0,1108,0,1,0,3,Gd,6,1,Gd,Attchd,Unf,1,280,0,0,139400,1,77
22,20,RL,75.0,9742,Reg,Inside,CollgCr,1Story,8,5,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,PConc,Gd,No,Unf,0,1777,1777,Ex,1795,0,1795,0,2,0,3,Gd,7,1,Gd,Attchd,RFn,2,534,171,159,230000,0,6
23,120,RM,44.0,4224,Reg,Inside,MeadowV,1Story,5,7,Gable,CemntBd,CmentBd,None,0.0,TA,PConc,Gd,No,GLQ,840,200,1040,TA,1060,0,1060,1,1,0,3,TA,6,1,TA,Attchd,Unf,2,572,100,110,129900,0,31
24,20,RL,69.0,8246,IR1,Inside,Sawyer,1Story,5,8,Gable,Plywood,Plywood,None,0.0,TA,CBlock,TA,Mn,Rec,188,204,1060,Ex,1060,0,1060,1,1,0,3,Gd,6,1,TA,Attchd,Unf,1,270,406,90,154000,1,42
25,20,RL,110.0,14230,Reg,Corner,NridgHt,1Story,8,5,Gable,VinylSd,VinylSd,Stone,640.0,Gd,PConc,Gd,No,Unf,0,1566,1566,Ex,1600,0,1600,0,2,0,3,Gd,7,1,Gd,Attchd,RFn,3,890,0,56,256300,0,2
26,20,RL,60.0,7200,Reg,Corner,NAmes,1Story,5,7,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,Mn,BLQ,234,180,900,TA,900,0,900,0,1,0,3,Gd,5,0,None,Detchd,Unf,2,576,222,32,134800,1,59
27,20,RL,98.0,11478,Reg,Inside,NridgHt,1Story,8,5,Gable,VinylSd,VinylSd,Stone,200.0,Gd,PConc,Ex,No,GLQ,1218,486,1704,Ex,1704,0,1704,1,2,0,3,Gd,7,1,Gd,Attchd,RFn,3,772,0,50,306000,1,3
28,20,RL,47.0,16321,IR1,CulDSac,NAmes,1Story,5,6,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,Gd,BLQ,1277,207,1484,TA,1600,0,1600,1,1,0,2,TA,6,2,Gd,Attchd,RFn,1,319,288,258,207500,1,49
29,30,RM,60.0,6324,IR1,Inside,BrkSide,1Story,4,6,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,520,520,Fa,520,0,520,0,1,0,1,Fa,4,0,None,Detchd,Unf,1,240,49,0,68500,1,81
30,70,C (all),50.0,8500,Reg,Inside,IDOTRR,2Story,4,4,Gambrel,BrkFace,BrkFace,None,0.0,TA,BrkTil,TA,No,Unf,0,649,649,TA,649,668,1317,0,1,0,3,TA,6,0,None,Detchd,Unf,1,250,0,54,40000,1,88
31,20,RL,69.0,8544,IR1,CulDSac,Sawyer,1Story,5,6,Gable,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,Unf,0,1228,1228,Gd,1228,0,1228,0,1,1,3,Gd,6,0,None,Attchd,Unf,1,271,0,65,149350,1,42
32,20,RL,85.0,11049,Reg,Corner,CollgCr,1Story,8,5,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Ex,Av,Unf,0,1234,1234,Ex,1234,0,1234,0,2,0,3,Gd,7,0,None,Attchd,RFn,2,484,0,30,179900,0,1
33,20,RL,70.0,10552,IR1,Inside,NAmes,1Story,5,5,Hip,BrkFace,BrkFace,None,0.0,TA,CBlock,TA,No,Rec,1018,380,1398,Gd,1700,0,1700,0,1,1,4,Gd,6,1,Gd,Attchd,RFn,2,447,0,38,165500,0,51
34,120,RL,60.0,7313,Reg,Inside,NridgHt,1Story,9,5,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,PConc,Ex,No,GLQ,1153,408,1561,Ex,1561,0,1561,1,2,0,2,Ex,6,1,Gd,Attchd,Fin,2,556,203,47,277500,0,2
35,60,RL,108.0,13418,Reg,Inside,NridgHt,2Story,8,5,Gable,VinylSd,VinylSd,Stone,132.0,Gd,PConc,Ex,Av,Unf,0,1117,1117,Ex,1132,1320,2452,0,3,1,4,Gd,9,1,Gd,BuiltIn,Fin,3,691,113,32,309000,1,2
36,20,RL,112.0,10859,Reg,Corner,CollgCr,1Story,5,5,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,Unf,0,1097,1097,Ex,1097,0,1097,0,1,1,3,TA,6,0,None,Attchd,Unf,2,672,392,64,145000,1,15
37,20,RL,74.0,8532,Reg,Inside,NAmes,1Story,5,6,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,CBlock,TA,No,Rec,1213,84,1297,Gd,1297,0,1297,0,1,0,3,TA,5,1,TA,Attchd,Fin,2,498,0,0,153000,1,55
38,20,RL,68.0,7922,Reg,Inside,NAmes,1Story,5,7,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,GLQ,731,326,1057,TA,1057,0,1057,1,1,0,3,Gd,5,0,None,Detchd,Unf,1,246,0,52,109000,1,57
39,90,RL,65.0,6040,Reg,Inside,Edwards,1Story,4,5,Gable,AsbShng,Plywood,None,0.0,TA,PConc,None,None,None,0,0,0,TA,1152,0,1152,0,2,0,2,Fa,6,0,None,None,None,0,0,0,0,82000,0,53
40,20,RL,84.0,8658,Reg,Inside,NAmes,1Story,6,5,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,CBlock,TA,No,Rec,643,445,1088,Ex,1324,0,1324,0,2,0,3,TA,6,1,TA,Attchd,RFn,2,440,0,138,160000,0,41
41,20,RL,115.0,16905,Reg,Inside,Timber,1Story,5,6,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,Gd,BLQ,967,383,1350,Gd,1328,0,1328,0,1,1,2,TA,5,2,Gd,Attchd,RFn,1,308,0,104,170000,0,48
42,85,RL,69.0,9180,IR1,CulDSac,SawyerW,SFoyer,5,7,Gable,HdBoard,HdBoard,None,0.0,TA,CBlock,Gd,Av,ALQ,747,0,840,Gd,884,0,884,1,1,0,2,Gd,5,0,None,Attchd,RFn,2,504,240,0,144000,0,24
43,20,RL,69.0,9200,IR1,CulDSac,CollgCr,1Story,5,6,Hip,VinylSd,VinylSd,None,0.0,TA,CBlock,Gd,Av,LwQ,280,167,938,TA,938,0,938,1,1,0,3,TA,5,0,None,Detchd,Unf,1,308,145,0,130250,1,33
44,20,RL,70.0,7945,Reg,Inside,NAmes,1Story,5,6,Gable,BrkFace,Wd Sdng,None,0.0,TA,CBlock,TA,No,ALQ,179,465,1150,Ex,1150,0,1150,1,1,0,3,TA,6,0,None,Attchd,RFn,1,300,0,0,141000,0,47
45,120,RL,61.0,7658,Reg,Inside,NridgHt,1Story,9,5,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,PConc,Ex,No,GLQ,456,1296,1752,Ex,1752,0,1752,1,2,0,2,Ex,6,1,Gd,Attchd,RFn,2,576,196,82,319900,0,5
46,50,RL,48.0,12822,IR1,CulDSac,Mitchel,1.5Fin,7,5,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Ex,No,GLQ,1351,83,1434,Ex,1518,631,2149,1,1,1,1,Gd,6,1,Ex,Attchd,RFn,2,670,168,43,239686,0,6
47,20,FV,84.0,11096,Reg,Inside,Somerst,1Story,8,5,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,Av,GLQ,24,1632,1656,Ex,1656,0,1656,0,2,0,3,Gd,7,0,None,Attchd,RFn,3,826,0,146,249700,0,1
48,190,RM,33.0,4456,Reg,Inside,OldTown,2Story,4,5,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,736,736,Gd,736,716,1452,0,2,0,2,TA,8,0,None,None,None,0,0,0,0,113000,1,89
49,20,RL,66.0,7742,Reg,Inside,Sawyer,1Story,5,7,Gable,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,BLQ,763,192,955,Ex,955,0,955,1,1,0,3,TA,6,0,None,Attchd,Unf,1,386,0,0,127000,0,41
50,60,RL,69.0,13869,IR2,Corner,Gilbert,2Story,6,6,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,Av,GLQ,182,612,794,Gd,794,676,1470,0,2,0,3,TA,6,0,None,Attchd,Fin,2,388,0,75,177000,0,10
51,50,RM,52.0,6240,Reg,Inside,BrkSide,1.5Fin,6,6,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,No,Unf,0,816,816,TA,816,0,1176,0,1,0,3,TA,6,1,Gd,Detchd,Unf,2,528,112,0,114500,1,72
52,90,RM,110.0,8472,IR2,Corner,IDOTRR,1Story,5,5,Gable,Wd Sdng,Wd Sdng,None,0.0,Fa,CBlock,Gd,Gd,LwQ,104,0,816,TA,816,0,816,1,1,0,2,TA,5,0,None,CarPort,Unf,2,516,106,0,110000,0,47
54,80,RL,60.0,7134,Reg,Inside,NAmes,SLvl,5,5,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,ALQ,384,0,384,TA,1360,0,1360,0,1,0,3,TA,6,1,TA,Detchd,Unf,2,572,0,50,130000,0,52
55,20,RL,100.0,10175,IR1,Inside,NAmes,1Story,6,5,Gable,HdBoard,Plywood,BrkFace,272.0,TA,CBlock,TA,No,BLQ,490,935,1425,Gd,1425,0,1425,0,2,0,3,TA,7,1,Gd,Attchd,RFn,2,576,0,0,180500,0,44
56,160,FV,24.0,2645,Reg,Inside,Somerst,2Story,8,5,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,PConc,Gd,No,GLQ,649,321,970,Ex,983,756,1739,1,2,1,3,Gd,7,0,None,Attchd,Fin,2,480,115,0,172500,1,10
57,60,RL,89.0,11645,IR1,Corner,CollgCr,2Story,7,5,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,No,Unf,0,860,860,Ex,860,860,1720,0,2,1,3,Gd,7,0,None,Attchd,RFn,2,565,0,70,196500,0,2
58,60,RL,66.0,13682,IR2,CulDSac,StoneBr,2Story,10,5,Hip,VinylSd,VinylSd,BrkFace,1031.0,Ex,PConc,Ex,Gd,Unf,0,1410,1410,Ex,1426,1519,2945,0,3,1,3,Gd,10,1,Gd,BuiltIn,Fin,3,641,192,0,438780,0,0
59,20,RL,60.0,7200,Reg,Inside,CollgCr,1Story,5,7,Gable,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,Av,ALQ,632,148,780,Ex,780,0,780,0,1,0,2,TA,4,0,None,Detchd,Unf,1,352,196,0,124900,0,36
60,20,RL,63.0,13072,Reg,Inside,SawyerW,1Story,6,5,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,ALQ,941,217,1158,Ex,1158,0,1158,1,1,1,3,Gd,5,0,None,Detchd,Unf,2,576,0,50,158000,0,2
61,75,RM,60.0,7200,Reg,Inside,IDOTRR,2.5Unf,5,7,Gable,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,No,Unf,0,530,530,TA,581,530,1111,0,1,0,3,Fa,6,0,None,Detchd,Unf,1,288,0,0,101000,1,87
62,120,RL,44.0,6442,IR1,Inside,NridgHt,1Story,8,5,Gable,VinylSd,VinylSd,Stone,178.0,Gd,PConc,Gd,Mn,GLQ,24,1346,1370,Ex,1370,0,1370,0,2,0,2,Gd,6,1,Gd,Attchd,RFn,2,484,120,49,202500,0,1
63,70,RM,50.0,10300,IR1,Inside,OldTown,2Story,7,6,Gable,Stucco,Stucco,None,0.0,TA,BrkTil,TA,No,Unf,0,576,576,Gd,902,808,1710,0,2,0,3,TA,9,0,None,Detchd,Unf,2,480,12,11,140000,1,89
65,60,RL,76.0,9591,Reg,Inside,NridgHt,2Story,8,5,Gable,VinylSd,VinylSd,BrkFace,344.0,Gd,PConc,Ex,Av,Unf,0,1143,1143,Ex,1143,1330,2473,0,2,1,4,Gd,9,1,Gd,BuiltIn,RFn,3,852,192,151,317000,1,3
66,20,RL,69.0,19900,Reg,Inside,NAmes,1Story,7,5,Gable,Plywood,Plywood,BrkFace,287.0,TA,CBlock,Gd,Gd,GLQ,912,1035,1947,TA,2207,0,2207,1,2,0,3,TA,7,1,Gd,Attchd,RFn,2,576,301,0,180000,1,40
67,20,RL,72.0,10665,IR1,Inside,CollgCr,1Story,7,5,Gable,VinylSd,VinylSd,BrkFace,167.0,Gd,PConc,Gd,Av,GLQ,1013,440,1453,Ex,1479,0,1479,1,2,0,3,Gd,7,0,None,Attchd,RFn,2,558,144,29,226000,0,4
68,30,RM,47.0,4608,Reg,Corner,OldTown,1Story,4,6,Gable,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,No,Unf,0,747,747,TA,747,0,747,0,1,0,2,TA,4,0,None,Attchd,Unf,1,220,0,0,80000,1,65
69,50,RL,81.0,15593,Reg,Corner,ClearCr,1.5Fin,7,4,Gable,BrkFace,AsbShng,None,0.0,Gd,CBlock,TA,No,BLQ,603,701,1304,TA,1304,983,2287,0,2,0,3,TA,7,1,TA,Attchd,Fin,2,667,0,21,225000,0,53
71,20,RL,69.0,7599,Reg,Corner,Mitchel,1Story,4,6,Gable,HdBoard,Plywood,None,0.0,TA,CBlock,TA,No,ALQ,565,280,845,TA,845,0,845,1,1,0,2,TA,4,0,None,Detchd,Unf,2,360,0,0,129500,1,25
72,60,RL,74.0,10141,IR1,Corner,Gilbert,2Story,7,5,Gable,VinylSd,VinylSd,BrkFace,40.0,TA,PConc,Gd,No,Unf,0,832,832,Gd,885,833,1718,0,2,1,3,TA,7,1,TA,Attchd,Fin,2,427,0,94,185000,0,11
73,20,RL,85.0,10200,Reg,Inside,NAmes,1Story,5,7,Gable,Wd Sdng,Wd Sdng,BrkFace,104.0,TA,CBlock,TA,No,ALQ,320,404,1086,Gd,1086,0,1086,1,1,0,3,TA,6,0,None,Attchd,Unf,2,490,0,0,144900,1,56
74,50,RM,60.0,5790,Reg,Corner,OldTown,2Story,3,6,Gambrel,VinylSd,VinylSd,None,0.0,Gd,CBlock,Fa,No,Unf,0,840,840,Gd,840,765,1605,0,2,0,3,TA,8,0,None,Detchd,Unf,1,379,0,0,107400,1,95
75,180,RM,21.0,1596,Reg,Inside,MeadowV,SLvl,4,5,Gable,CemntBd,CmentBd,None,0.0,TA,CBlock,Gd,Gd,GLQ,462,0,462,TA,526,462,988,1,1,0,2,TA,5,0,None,BuiltIn,Unf,1,297,120,101,91000,0,36
76,20,RL,69.0,8475,IR1,Inside,NAmes,1Story,4,7,Gable,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,ALQ,228,724,952,Ex,952,0,952,0,1,0,2,TA,4,0,None,Detchd,Unf,1,283,0,0,135750,0,52
77,50,RM,50.0,8635,Reg,Inside,BrkSide,1.5Fin,5,5,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,No,BLQ,336,295,672,TA,1072,213,1285,1,1,0,2,TA,6,0,None,Detchd,Unf,1,240,0,0,127000,1,60
78,90,RL,72.0,10778,Reg,Inside,Sawyer,1Story,4,5,Hip,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,Unf,0,1768,1768,TA,1768,0,1768,0,2,0,4,TA,8,0,None,None,None,0,0,0,0,136500,0,42
79,50,RM,60.0,10440,Reg,Corner,OldTown,2Story,5,6,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,PConc,TA,No,Unf,0,440,440,Gd,682,548,1230,0,1,1,2,TA,5,0,None,Detchd,Unf,2,440,74,0,110000,1,99
80,60,RL,100.0,13000,Reg,Corner,NAmes,2Story,6,6,Gable,VinylSd,VinylSd,BrkFace,576.0,TA,CBlock,Gd,No,Rec,448,448,896,TA,1182,960,2142,0,2,1,4,Gd,8,1,Gd,Attchd,Fin,1,509,0,72,193500,0,41
81,120,RM,32.0,4500,Reg,FR2,Mitchel,1Story,6,5,Hip,VinylSd,VinylSd,BrkFace,443.0,TA,PConc,Ex,No,GLQ,1201,36,1237,Ex,1337,0,1337,1,2,0,2,TA,5,0,None,Attchd,Fin,2,405,0,199,153500,0,8
82,20,RL,78.0,10206,Reg,Inside,Somerst,1Story,8,5,Gable,VinylSd,VinylSd,Stone,468.0,TA,PConc,Gd,No,GLQ,33,1530,1563,Ex,1563,0,1563,0,2,0,3,Gd,6,1,Gd,Attchd,RFn,3,758,144,99,245000,0,1
83,20,RL,80.0,8892,IR1,Inside,NAmes,1Story,5,5,Gable,MetalSd,MetalSd,BrkCmn,66.0,TA,CBlock,TA,No,Unf,0,1065,1065,Gd,1065,0,1065,0,1,1,3,TA,6,0,None,Detchd,Unf,2,461,74,0,126500,0,47
84,80,RL,69.0,8530,IR1,Inside,Gilbert,SLvl,7,5,Gable,HdBoard,HdBoard,BrkFace,22.0,TA,PConc,Gd,No,Unf,0,384,384,Gd,804,670,1474,0,2,1,3,TA,7,1,TA,BuiltIn,Fin,2,400,120,72,168500,1,14
85,60,RL,121.0,16059,Reg,Corner,NoRidge,2Story,8,5,Hip,HdBoard,HdBoard,BrkFace,284.0,Gd,CBlock,Gd,No,Unf,0,1288,1288,Ex,1301,1116,2417,0,2,1,4,Gd,9,1,TA,Attchd,Unf,2,462,127,82,260000,1,15
86,60,RL,122.0,11911,IR2,Inside,Gilbert,2Story,6,5,Gable,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,Av,Unf,0,684,684,Ex,684,876,1560,0,2,1,3,Gd,6,1,Gd,BuiltIn,Fin,2,400,100,38,174000,0,4
87,160,FV,40.0,3951,Reg,Corner,Somerst,2Story,6,5,Gable,VinylSd,VinylSd,Stone,76.0,Gd,PConc,Gd,Av,Unf,0,612,612,Ex,612,612,1224,0,2,1,2,Gd,4,0,None,Detchd,RFn,2,528,0,234,164500,0,0
88,50,C (all),105.0,8470,IR1,Corner,IDOTRR,1.5Fin,3,2,Hip,Plywood,Plywood,None,0.0,Fa,CBlock,TA,No,Unf,0,1013,1013,TA,1013,0,1526,0,1,0,2,Fa,6,0,None,None,None,0,0,0,0,85000,1,94
89,20,RL,60.0,8070,Reg,Inside,CollgCr,1Story,4,5,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,GLQ,588,402,990,Ex,990,0,990,1,1,0,3,TA,5,0,None,None,None,0,0,0,0,123600,1,13
90,20,RL,60.0,7200,Reg,Inside,NAmes,1Story,4,5,Gable,BrkFace,Wd Sdng,None,0.0,TA,Slab,None,None,None,0,0,0,TA,1040,0,1040,0,1,0,2,TA,4,0,None,Detchd,Unf,2,420,0,29,109900,0,56
91,20,RL,85.0,8500,Reg,Inside,NAmes,1Story,5,3,Hip,HdBoard,HdBoard,BrkCmn,203.0,TA,CBlock,TA,No,Rec,600,635,1235,TA,1235,0,1235,0,1,0,2,TA,6,0,None,Attchd,Unf,2,480,0,0,98600,0,45
92,30,RL,80.0,13360,IR1,Inside,Crawfor,1Story,5,7,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,Gd,No,ALQ,713,163,876,Ex,964,0,964,1,1,0,2,TA,5,0,None,Detchd,Unf,2,432,0,0,163500,1,88
93,190,C (all),60.0,7200,Reg,Corner,OldTown,2.5Unf,6,6,Hip,MetalSd,MetalSd,None,0.0,TA,BrkTil,TA,Mn,Rec,1046,168,1214,Ex,1260,1031,2291,0,2,0,4,TA,9,1,Gd,Detchd,Unf,2,506,0,0,133900,1,97
94,60,RL,69.0,9337,IR1,Inside,CollgCr,2Story,6,5,Gable,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,No,GLQ,648,176,824,Ex,905,881,1786,1,2,1,3,Gd,7,0,None,Attchd,RFn,2,684,0,162,204750,0,10
95,60,RL,69.0,9765,IR2,Corner,Gilbert,2Story,6,8,Gable,VinylSd,VinylSd,BrkFace,68.0,Ex,PConc,Gd,No,ALQ,310,370,680,Gd,680,790,1470,0,2,1,3,TA,6,1,TA,BuiltIn,Fin,2,420,232,63,185000,0,16
96,20,RL,78.0,10264,IR1,Inside,CollgCr,1Story,7,5,Gable,VinylSd,VinylSd,BrkFace,183.0,Gd,PConc,Gd,Av,ALQ,1162,426,1588,Ex,1588,0,1588,0,2,0,3,Gd,6,0,None,Attchd,RFn,2,472,158,29,214000,0,7
97,20,RL,73.0,10921,Reg,Inside,Edwards,1Story,4,5,Hip,HdBoard,HdBoard,BrkFace,48.0,TA,CBlock,TA,No,Rec,520,440,960,TA,960,0,960,1,1,0,3,TA,6,0,None,Attchd,Fin,1,432,120,0,94750,0,42
98,30,RL,85.0,10625,Reg,Corner,Edwards,1Story,5,5,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,BrkTil,TA,No,ALQ,108,350,458,Fa,835,0,835,0,1,0,2,TA,5,0,None,Basment,Unf,1,366,0,0,83000,1,90
